uid,id.orig_p,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,device
CaEiMO20xLtthzcXu3,38100,80,tcp,http,0.024235,201,885,SF,T,T,0,SADadfF,6,521,4,1093,-,6,HueSwitch
CmYlov1xslHMfARf2i,41909,80,tcp,http,0.019374,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CcIPlxHo2GLxqOO01,43760,80,tcp,http,0.021237,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CtoDXz3b4PKLIW3qTb,39931,80,tcp,http,0.018778,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CikKtp4hvgsl7tUL1,44465,80,tcp,http,0.019051,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CI66wu2UB9f2oQtlt3,42276,80,tcp,http,0.018782,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CmfcWw43MScsJAvkrb,57570,80,tcp,http,0.010151,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
ChL4xqkc5IU6XUbM8,34966,80,tcp,http,0.007541,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CBDLcG4NW8zylXkHNc,41425,80,tcp,http,0.008689,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CzDOhI28a7Ja7ccgCj,58703,80,tcp,http,0.021797,193,4548,SF,T,T,0,ShADadfF,11,773,11,5128,-,6,HueSwitch
CceuI38waGw8udKYf,57649,80,tcp,http,0.008582,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CbdRpb4fz6ut2E0keg,43753,80,tcp,http,0.008398,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CAmhnK2W3IoEPWdB84,49029,80,tcp,http,0.012454,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
C7Gv7S36M8rn8eem23,60585,80,tcp,http,0.011906,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
Coc3dm3CKUigu8wmI2,49725,80,tcp,http,0.012836,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CFBUTAAEAS1hJ0Pkc,57347,80,tcp,http,0.016791,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
Ch5KKZ1KDIrdQBFzoe,47634,80,tcp,http,0.009908,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CguGRB2Ulcwr4hv3Tb,60044,80,tcp,http,0.008718,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CIRnSF1R83DqrXWMIi,56302,80,tcp,http,0.009333,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
C4UsZp2SmoEFFfunnd,34903,80,tcp,http,0.017811,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
ChNoQV1tK2AFzBWiG7,37841,80,tcp,http,0.097841,275,456,SF,T,T,0,ShADadftF,8,711,8,913,-,6,HueSwitch
CCzuHz34z9ZKb9DNZj,59533,80,tcp,http,0.084390,201,664,SF,T,T,0,ShADadftF,7,585,6,1631,-,6,HueSwitch
CgosvzoWeLOZtTwtl,50071,80,tcp,http,0.067178,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
CFT05e2YZP3m9RoGDc,44378,80,tcp,http,0.063382,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
CzEpXh1Uw8G8Gaybz4,44038,80,tcp,http,0.062115,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
Cry9lY28HTPuH1Fvxh,58787,80,tcp,http,0.061177,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
C9PhXk462nAtKAhiT5,35192,80,tcp,http,0.011571,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CSe9lw3a6jb4F1Y5b,32843,80,tcp,http,0.014095,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CnHPNi1kqcjfhq4kxk,34748,80,tcp,http,0.018498,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CmRlnP3QFRN3B47VX4,43917,80,tcp,http,0.010638,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CsONvS3HPQJJQkZnc8,50611,80,tcp,http,0.010483,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CzuZP01dfcCgRrK4x1,38039,80,tcp,http,0.011997,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CxE1rtaMNwdfKY3i,48131,80,tcp,http,0.010942,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
Ca0XyE3CUQfK7KK5Bj,39776,80,tcp,http,0.015219,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CWEpkx2ZmZrRJEuBW5,47038,80,tcp,http,0.014482,201,664,SF,T,T,0,ShADadftF,7,585,6,1631,-,6,HueSwitch
CJFKi6mmU4iMyvSr5,32830,80,tcp,http,0.015108,193,2672,SF,T,T,0,ShADadfF,9,669,8,3096,-,6,HueSwitch
CpdHlnePz0sc6xq9e,34856,80,tcp,http,0.010703,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
Cm1abNs1A4p0kTcxc,46739,80,tcp,http,0.018202,271,475,SF,T,T,0,ShADadfF,5,539,5,743,-,6,HueSwitch
C8mi1n2kbEnkjHAnZd,49385,80,tcp,http,0.015126,205,443,SF,T,T,0,ShADadftF,6,537,6,1189,-,6,HueSwitch
CdJgVj1le7FeDZ5Xrf,54713,80,tcp,http,0.020831,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CFftBM1FlMXq2XE5ed,44268,80,tcp,http,0.023763,193,2672,SF,T,T,0,ShADadfF,7,565,7,3044,-,6,HueSwitch
COal782Q6Y8dxZKwqf,45553,80,tcp,http,0.022297,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CwYQKr4MmPavRW3Zaj,50858,80,tcp,http,0.011342,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
C0sZMw4QeRDUUrYqyh,44105,80,tcp,http,0.026174,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CibR1frHwxUjKXPp9,47330,80,tcp,http,0.014967,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CxSkym4STKR2eSdYz4,43175,80,tcp,http,0.015442,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
C9OA594BOKafMSdes3,43214,80,tcp,http,0.023873,193,2880,SF,T,T,0,ShADadfF,8,617,8,3304,-,6,HueSwitch
CfUGxdf7fsfgdDIDi,44718,80,tcp,http,0.011952,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
CCSOOg4dAFp3pr4s4,42374,80,tcp,http,0.016640,193,2880,SF,T,T,0,ShADadfF,9,669,9,3356,-,6,HueSwitch
C4mnUqV8a9mFDJYc7,42645,80,tcp,http,0.010826,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
C0ksI214QkgDBTUdxc,55985,80,tcp,http,0.019415,320,546,SF,T,T,0,ShADadftF,7,692,7,918,-,6,HueSwitch
CX43vx3CqNpHSP6qFj,44112,80,tcp,http,0.027937,538,445,SF,T,T,0,ShADadfF,7,910,7,817,-,6,HueSwitch
C6WV2d368jBlBgaQSe,47520,80,tcp,http,0.032369,539,445,SF,T,T,0,ShADadftF,8,975,8,891,-,6,HueSwitch
CeSrOO4cvHXn9Q6dd,33571,80,tcp,http,0.019113,319,545,SF,T,T,0,ShADadfF,7,691,7,917,-,6,HueSwitch
Cn4eEu2hfC4mcNxlqi,52430,80,tcp,http,0.032849,538,445,SF,T,T,0,ShADadfF,7,910,7,817,-,6,HueSwitch
C9yjbu1WrMpxw5RlY4,32827,80,tcp,http,0.018941,320,546,SF,T,T,0,ShADadfF,7,692,7,918,-,6,HueSwitch
CBBc8y3mAcSOrju91g,35887,80,tcp,http,0.033199,538,445,SF,T,T,0,ShADadfF,7,910,7,817,-,6,HueSwitch
CZxcKS1kPtR3c9kiH9,55474,80,tcp,http,0.011481,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CSq7RXbUdJ3YCTDhd,41886,80,tcp,http,0.014498,199,2059,SF,T,T,0,ShADadfF,7,571,6,2379,-,6,HueSwitch
CmzgUO25hvwWnlk43d,58195,80,tcp,http,0.020011,201,872,SF,T,T,0,ShADadftF,7,585,6,2047,-,6,HueSwitch
CbwXWu1uIcvZYxO9Y8,40072,80,tcp,http,0.009614,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CBE37j4zG5Z5T1TzY3,50499,80,tcp,http,0.020782,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
C0pZf626eZE3OLQ3se,39115,80,tcp,http,0.021093,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CR3k9L2Rcgp8SuKBE2,57673,80,tcp,http,0.018540,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
C7LfWl4q807dJuvkY8,53269,80,tcp,http,0.017781,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
C4OIMd3RgIglALLBJ3,56123,80,tcp,http,0.017307,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
Ct1zfq18gC5yl8vRck,41908,80,tcp,http,0.008985,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
COQp883gOhKKURrfT4,57604,80,tcp,http,0.007545,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
C0V7T93VvufSgcxFy9,57175,80,tcp,http,0.010617,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CGR5c23wmC3Ifa2An2,55014,80,tcp,http,0.011628,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CX0uc31l7fTTlrLUP3,41983,80,tcp,http,0.017509,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
C8r2vx3dSoEZaRDAo4,34809,80,tcp,http,0.010412,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CYDzuuTErv5luBD8l,39382,80,tcp,http,0.063290,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
C2yiwy4XCBZ03zFRH,39815,80,tcp,http,0.024485,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CfCFc4Kwez39PZOC2,49285,80,tcp,http,0.019744,319,545,SF,T,T,0,ShADadfF,7,691,7,917,-,6,HueSwitch
C65BvQ1VycRg1tNF7c,34345,80,tcp,http,0.033805,542,445,SF,T,T,0,ShADadfF,7,914,7,817,-,6,HueSwitch
CycKRn1i1sciip9VIj,51693,80,tcp,http,0.028139,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CljUEgnzPuC3svCX3,35066,80,tcp,http,0.017169,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CFQ00FxMl7ZHNcoyl,42834,80,tcp,http,0.007706,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CQA0gR1lZH3iOtYcT,33841,80,tcp,http,0.014678,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
CLW7Fi261hJ5Haq8g,60707,80,tcp,http,0.011740,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
C8wXuw4olqE88QGkL6,54845,80,tcp,http,0.016718,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CoWRGP3sBKzxH7gud,52214,80,tcp,http,0.016751,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
C6RcTg2pY1mMtxRMEi,38443,80,tcp,http,0.022916,193,4520,SF,T,T,0,ShADadfF,9,669,9,4996,-,6,HueSwitch
CtoLV22y8MJxc9nhMf,46699,80,tcp,http,0.010052,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CdJOKVhCAcOnjuuWj,38511,80,tcp,http,0.008025,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
C1vPpb3P0l5W0pRnv4,42157,80,tcp,http,0.027153,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CQ4dkW545Stx5or77,51266,80,tcp,http,0.021114,201,872,SF,T,T,0,ShADadftF,7,585,6,2047,-,6,HueSwitch
CYddb74gjgmVrh6rKg,51169,80,tcp,http,0.018146,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CzvyGc4z4IMk6UK2ja,37167,80,tcp,http,0.019197,201,872,SF,T,T,0,ShADadftF,7,585,6,2047,-,6,HueSwitch
C6FWtn164l6beSKUG4,60605,80,tcp,http,0.015577,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
CdqX9S1xePQijPPzpl,44584,80,tcp,http,0.017101,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CHTVlj30nNDbtIHuPc,34090,80,tcp,http,0.018727,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CGda9Q2ESExkz4buGc,42983,80,tcp,http,0.019201,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CO49O42akvFOIhnOK7,50042,80,tcp,http,0.016875,201,872,SF,T,T,0,ShADadfF,5,469,5,1140,-,6,HueSwitch
CaFlmd2G7YIZCu4XRb,57475,80,tcp,http,0.014201,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
CDUpRFHedahGEFYcg,38369,80,tcp,http,0.018171,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CdaQpb3JgiK1ERyZx,60162,80,tcp,http,0.017315,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CboQav3wrKvUiOeSN3,37867,80,tcp,http,0.019127,201,872,SF,T,T,0,ShADadfF,6,521,5,1140,-,6,HueSwitch
CVZaOs1SAwLHVQ75j6,55920,80,tcp,http,0.018162,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CBL8Zb3vtQx6xVPbc2,35436,80,tcp,http,0.014981,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
CnYINM26XOi8cVUhIb,48771,80,tcp,http,0.017181,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CchUfM27VgZanXOZle,44726,80,tcp,http,0.018625,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CcWcFhWoO14uFFvl,60554,80,tcp,http,0.020145,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CZKn9R2xKzt0UEBiQi,32797,80,tcp,http,0.016138,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CsCPGa1LPbTee4gOW2,42645,80,tcp,http,0.009501,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
Ce8nheXTHIYlQJge4,38974,80,tcp,http,0.018386,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CYiHg3QGRxkHj3Bgc,53646,80,tcp,http,0.018159,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
Cd8IIe4GIq7N3JwuQc,57020,80,tcp,http,0.019106,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CJyJnb3MH4p78cy3q5,50178,80,tcp,http,0.022295,193,4563,SF,T,T,0,ShADadfF,8,617,8,4987,-,6,HueSwitch
CRVlU23anOr2Xs7Cnj,36772,80,tcp,http,0.009781,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CgpKb54tOwzNWqegG4,38970,80,tcp,http,0.007989,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
CvZXCzssqddkKSfPa,59831,80,tcp,http,0.019578,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CiHLXj4BqNdSxNRdse,38399,80,tcp,http,0.017976,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
Cbzv4k3Ma058koL4g,48625,80,tcp,http,0.018203,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CJZolq4Rpvhuyw0kf7,42690,80,tcp,http,0.019573,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CWP9giAeYVdyfFXa2,59116,80,tcp,http,0.011073,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
CHfEAk4WAJwLLgh2oj,56828,80,tcp,http,0.021453,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CfXWXn4nnEuch5jjQl,45031,80,tcp,http,0.016859,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
C0Mwb14i0iPiu0Xqtj,46217,80,tcp,http,0.019236,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CUnVJdmPkKYNGBkCk,39090,80,tcp,http,0.021928,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
Ce7hS83Pu2UUCUj6u6,53422,80,tcp,http,0.015404,205,470,SF,T,T,0,ShADadfF,5,473,5,738,-,6,HueSwitch
Cw6KONXivBnQKROP,35565,80,tcp,http,0.017560,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CnAaN12Qov1skaDym4,50821,80,tcp,http,0.020021,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CEpZxG2gw0ZFuy48l,45325,80,tcp,http,0.018568,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CUeJxb7nsGwux0Hpf,60560,80,tcp,http,0.018278,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CRC3Id1xDnWROiaTc4,45347,80,tcp,http,0.012298,205,483,SF,T,T,0,ShADadfF,5,473,5,751,-,6,HueSwitch
CIqqJiuwTfbaZ6GP9,39494,80,tcp,http,0.013145,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CofHUC1jmqIvxG3X6i,42314,80,tcp,http,0.019693,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CpaqBl4w7Pmj1shyjf,46721,80,tcp,http,0.018869,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CN5pG1TBV0rI8Q5Tc,43918,80,tcp,http,0.018878,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CUZNBD2BCDg3eld6H7,58350,80,tcp,http,0.017539,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CfN3WV3V18e3ccKQb3,46059,80,tcp,http,0.018227,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CX7PnoQ8nsoNcaUgg,46695,80,tcp,http,0.017739,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CMT5f64gneQZk69dka,45583,80,tcp,http,0.026017,193,4563,SF,T,T,0,ShADadftF,10,733,10,6203,-,6,HueSwitch
CEytfC4NJfkr7f8Dyc,55336,80,tcp,http,0.011350,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CzPoc9JsdLV5kENjj,51649,80,tcp,http,0.011314,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CS08XU1KPa39U3G80k,56038,80,tcp,http,0.018682,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
Cn8FZA3P2UHdskqV1a,53167,123,udp,ntp,0.006407,48,48,SF,T,F,0,Dd,1,76,1,76,-,17,HueSwitch
C3Npsqs64WdoJQme9,56196,80,tcp,http,0.019518,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CdmPnJ3fL8dttjflz9,38923,80,tcp,http,0.019236,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CJpoJZeO7Emo6kQJj,56212,123,udp,ntp,0.016122,48,48,SF,T,F,0,Dd,1,76,1,76,-,17,HueSwitch
Crd0Z9FQdeb9LPS8i,60483,80,tcp,http,0.021682,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CUvI7k13H6cLqYGd7k,33915,80,tcp,http,0.020097,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CUY52Ok5OBe19EJYk,39333,123,udp,ntp,0.004860,48,48,SF,T,F,0,Dd,1,76,1,76,-,17,HueSwitch
