,fingerprint,certificate.version,certificate.serial,certificate.subject,certificate.issuer,certificate.not_valid_before,certificate.not_valid_after,certificate.key_alg,certificate.sig_alg,certificate.key_type,certificate.key_length,certificate.exponent,certificate.curve,san.dns,san.uri,san.email,san.ip,basic_constraints.ca,basic_constraints.path_len,host_cert,client_cert,device
0,f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,3,1121CB4C600C3A834373F9DADC254C078F04,"CN=*.dch.dlink.com,O=D-LINK CORPORATION,OU=IT Dept.,L=Taipei,ST=Taiwan,C=TW","CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE",1415782734,1510477134,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.dch.dlink.com,dch.dlink.com",-,-,-,F,-,T,F,D-LinkHomeHub
1,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,3,040000000001444EF04247,"CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",1392890400,1708423200,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,D-LinkHomeHub
2,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99,3,040000000001154B5AC394,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",904651200,1832673600,rsaEncryption,sha1WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,D-LinkHomeHub
3,5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,3,6BCDB838E25F8DF1,"CN=xbcs.net,OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1456520498,1488308700,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"xbcs.net,www.xbcs.net,ice.xbcs.net,api.xbcs.net,fs.xbcs.net,fw.xbcs.net",-,-,-,F,-,T,F,WeMoInsightSwitch2
4,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3,07,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1304406000,1935558000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoInsightSwitch2
5,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,3,1BE715,"CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1388559600,1937890800,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoInsightSwitch2
6,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4,3,00,"OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1088528780,2035213580,rsaEncryption,sha1WithRSAEncryption,rsa,2048,3,-,-,-,-,-,T,-,F,F,WeMoInsightSwitch2
7,e536fd6c918ac171f603a7d21efa20942355f21a878bab40ceaa763c2b91db5e,3,E4FFCC879B78A6C2,"CN=*.lswf.net,OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1470242738,1502210283,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.lswf.net,lswf.net",-,-,-,F,-,T,F,WeMoInsightSwitch2
8,5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,3,6BCDB838E25F8DF1,"CN=xbcs.net,OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1456520498,1488308700,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"xbcs.net,www.xbcs.net,ice.xbcs.net,api.xbcs.net,fs.xbcs.net,fw.xbcs.net",-,-,-,F,-,T,F,WeMoSwitch
9,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3,07,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1304406000,1935558000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoSwitch
10,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,3,1BE715,"CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1388559600,1937890800,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoSwitch
11,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4,3,00,"OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1088528780,2035213580,rsaEncryption,sha1WithRSAEncryption,rsa,2048,3,-,-,-,-,-,T,-,F,F,WeMoSwitch
12,f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,3,1121CB4C600C3A834373F9DADC254C078F04,"CN=*.dch.dlink.com,O=D-LINK CORPORATION,OU=IT Dept.,L=Taipei,ST=Taiwan,C=TW","CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE",1415782734,1510477134,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.dch.dlink.com,dch.dlink.com",-,-,-,F,-,T,F,D-LinkDoorSensor
13,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,3,040000000001444EF04247,"CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",1392890400,1708423200,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,D-LinkDoorSensor
14,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99,3,040000000001154B5AC394,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",904651200,1832673600,rsaEncryption,sha1WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,D-LinkDoorSensor
15,ef8f0e800409212e051937fcdd3f7fa5a18d9dd8b46f283e872f53100d77a10d,3,1121B4F60EC77B9E90604CE8AF17BEE61FAD,"CN=*.auto.mydlink.com,O=D-Link Corporation,OU=IT Dept.,L=Taipei,ST=Taiwan,C=TW","CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE",1430981543,1506068525,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.auto.mydlink.com,auto.mydlink.com",-,-,-,F,-,T,F,D-LinkCam
16,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,3,040000000001444EF04247,"CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",1392890400,1708423200,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,D-LinkCam
17,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99,3,040000000001154B5AC394,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",904651200,1832673600,rsaEncryption,sha1WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,D-LinkCam
18,5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,3,6BCDB838E25F8DF1,"CN=xbcs.net,OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1456520498,1488308700,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"xbcs.net,www.xbcs.net,ice.xbcs.net,api.xbcs.net,fs.xbcs.net,fw.xbcs.net",-,-,-,F,-,T,F,WeMoLink
19,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3,07,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1304406000,1935558000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoLink
20,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,3,1BE715,"CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1388559600,1937890800,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoLink
21,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4,3,00,"OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1088528780,2035213580,rsaEncryption,sha1WithRSAEncryption,rsa,2048,3,-,-,-,-,-,T,-,F,F,WeMoLink
22,11076af99ceca46335fafa93ef2e00a4604d9084cde50a35eccb5b7ee2af8e50,3,063B2A91FAD0E9581984DDE699F4A1C0,"CN=*.tplinkcloud.com,OU=R&D dept.,O=TP-LINK TECHNOLOGIES CO.\\, LTD.,L=Shenzhen,ST=Guangdong,C=CN","CN=Symantec Class 3 Secure Server CA - G4,OU=Symantec Trust Network,O=Symantec Corporation,C=US",1460419200,1562975999,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.tplinkcloud.com,tplinkcloud.com",-,-,-,F,-,T,F,TP-LinkPlugHS110
23,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17,3,513FB9743870B73440418D30930699FF,"CN=Symantec Class 3 Secure Server CA - G4,OU=Symantec Trust Network,O=Symantec Corporation,C=US","CN=VeriSign Class 3 Public Primary Certification Authority - G5,OU=(c) 2006 VeriSign\\, Inc. - For authorized use only,OU=VeriSign Trust Network,O=VeriSign\\, Inc.,C=US",1383177600,1698710399,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,TP-LinkPlugHS110
24,11076af99ceca46335fafa93ef2e00a4604d9084cde50a35eccb5b7ee2af8e50,3,063B2A91FAD0E9581984DDE699F4A1C0,"CN=*.tplinkcloud.com,OU=R&D dept.,O=TP-LINK TECHNOLOGIES CO.\\, LTD.,L=Shenzhen,ST=Guangdong,C=CN","CN=Symantec Class 3 Secure Server CA - G4,OU=Symantec Trust Network,O=Symantec Corporation,C=US",1460419200,1562975999,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.tplinkcloud.com,tplinkcloud.com",-,-,-,F,-,T,F,TP-LinkPlugHS100
25,eae72eb454bf6c3977ebd289e970b2f5282949190093d0d26f98d0f0d6a9cf17,3,513FB9743870B73440418D30930699FF,"CN=Symantec Class 3 Secure Server CA - G4,OU=Symantec Trust Network,O=Symantec Corporation,C=US","CN=VeriSign Class 3 Public Primary Certification Authority - G5,OU=(c) 2006 VeriSign\\, Inc. - For authorized use only,OU=VeriSign Trust Network,O=VeriSign\\, Inc.,C=US",1383177600,1698710399,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,TP-LinkPlugHS100
26,f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,3,1121CB4C600C3A834373F9DADC254C078F04,"CN=*.dch.dlink.com,O=D-LINK CORPORATION,OU=IT Dept.,L=Taipei,ST=Taiwan,C=TW","CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE",1415782734,1510477134,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.dch.dlink.com,dch.dlink.com",-,-,-,F,-,T,F,D-LinkWaterSensor
27,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,3,040000000001444EF04247,"CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",1392890400,1708423200,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,D-LinkWaterSensor
28,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99,3,040000000001154B5AC394,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",904651200,1832673600,rsaEncryption,sha1WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,D-LinkWaterSensor
29,f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,3,1121CB4C600C3A834373F9DADC254C078F04,"CN=*.dch.dlink.com,O=D-LINK CORPORATION,OU=IT Dept.,L=Taipei,ST=Taiwan,C=TW","CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE",1415782734,1510477134,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.dch.dlink.com,dch.dlink.com",-,-,-,F,-,T,F,D-LinkSwitch
30,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,3,040000000001444EF04247,"CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",1392890400,1708423200,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,D-LinkSwitch
31,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99,3,040000000001154B5AC394,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",904651200,1832673600,rsaEncryption,sha1WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,D-LinkSwitch
32,f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,3,1121CB4C600C3A834373F9DADC254C078F04,"CN=*.dch.dlink.com,O=D-LINK CORPORATION,OU=IT Dept.,L=Taipei,ST=Taiwan,C=TW","CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE",1415782734,1510477134,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.dch.dlink.com,dch.dlink.com",-,-,-,F,-,T,F,D-LinkSensor
33,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,3,040000000001444EF04247,"CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",1392890400,1708423200,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,D-LinkSensor
34,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99,3,040000000001154B5AC394,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",904651200,1832673600,rsaEncryption,sha1WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,D-LinkSensor
35,5497f91aeb7ee7281bd807116ffbdf7791c7850085dc74201c972a4c5fbd4979,3,6BCDB838E25F8DF1,"CN=xbcs.net,OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1456520498,1488308700,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"xbcs.net,www.xbcs.net,ice.xbcs.net,api.xbcs.net,fs.xbcs.net,fw.xbcs.net",-,-,-,F,-,T,F,WeMoInsightSwitch
36,973a41276ffd01e027a2aad49e34c37846d3e976ff6a620b6712e33832041aa6,3,07,"CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1304406000,1935558000,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoInsightSwitch
37,3a2fbe92891e57fe05d57087f48e730f17e5a5f53ef403d618e5b74d7a7e6ecb,3,1BE715,"CN=Go Daddy Root Certificate Authority - G2,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1388559600,1937890800,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,WeMoInsightSwitch
38,c3846bf24b9e93ca64274c0ec67c1ecc5e024ffcacd2d74019350e81fe546ae4,3,00,"OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US","OU=Go Daddy Class 2 Certification Authority,O=The Go Daddy Group\\, Inc.,C=US",1088528780,2035213580,rsaEncryption,sha1WithRSAEncryption,rsa,2048,3,-,-,-,-,-,T,-,F,F,WeMoInsightSwitch
39,f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,3,1121CB4C600C3A834373F9DADC254C078F04,"CN=*.dch.dlink.com,O=D-LINK CORPORATION,OU=IT Dept.,L=Taipei,ST=Taiwan,C=TW","CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE",1415782734,1510477134,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"*.dch.dlink.com,dch.dlink.com",-,-,-,F,-,T,F,D-LinkSiren
40,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,3,040000000001444EF04247,"CN=GlobalSign Organization Validation CA - SHA256 - G2,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",1392890400,1708423200,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,0,F,F,D-LinkSiren
41,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99,3,040000000001154B5AC394,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",904651200,1832673600,rsaEncryption,sha1WithRSAEncryption,rsa,2048,65537,-,-,-,-,-,T,-,F,F,D-LinkSiren
42,0dec292e5a255e63ae307c17b0d34790585d0d7ecf1412db9eafdc4533818c89,3,ABED7C674EBB75C6,"CN=xbcs.net,OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2,OU=http://certs.godaddy.com/repository/,O=GoDaddy.com\\, Inc.,L=Scottsdale,ST=Arizona,C=US",1424711866,1456686300,rsaEncryption,sha256WithRSAEncryption,rsa,2048,65537,-,"xbcs.net,www.xbcs.net,ice.xbcs.net,api.xbcs.net,fs.xbcs.net,fw.xbcs.net",-,-,-,F,-,T,F,WeMoSwitch2
